beam_width, beam_length, average_num_accepted_tokens, tokens_per_sec
1, 2, 1.656000, 16.030
1, 3, 1.923000, 18.006
1, 4, 2.196000, 19.545
1, 5, 2.244000, 19.232
1, 6, 2.244000, 18.698
1, 7, 2.267000, 18.094
1, 8, 2.170000, 16.844
1, 9, 2.170000, 16.202
2, 2, 1.741000, 16.246
2, 3, 2.083000, 18.222
2, 4, 2.405000, 19.523
2, 5, 2.463000, 18.825
2, 6, 2.463000, 17.957
2, 7, 2.429000, 16.522
2, 8, 2.405000, 12.921
2, 9, 2.349000, 12.216
3, 2, 1.818000, 16.771
3, 3, 2.128000, 18.170
3, 4, 2.318000, 18.023
3, 5, 2.463000, 17.883
3, 6, 2.318000, 12.986
3, 7, 2.405000, 13.248
3, 8, 2.405000, 12.547
3, 9, 2.405000, 12.188
4, 2, 1.818000, 16.591
4, 3, 2.125000, 17.702
4, 4, 2.463000, 15.110
4, 5, 2.590000, 14.975
4, 6, 2.590000, 14.646
4, 7, 2.525000, 13.556
4, 8, 2.525000, 14.043
4, 9, 2.525000, 10.174
5, 2, 1.772000, 15.812
5, 3, 2.174000, 17.964
5, 4, 2.463000, 14.738
5, 5, 2.525000, 14.458
5, 6, 2.590000, 14.343
5, 7, 2.372000, 9.954
5, 8, 2.488000, 10.157
5, 9, 2.525000, 10.060
6, 2, 1.852000, 16.399
6, 3, 2.295000, 14.582
6, 4, 2.564000, 15.600
6, 5, 2.730000, 15.539
6, 6, 2.590000, 11.177
6, 7, 2.525000, 10.568
6, 8, 2.525000, 10.288
6, 9, 2.525000, 9.908
7, 2, 1.772000, 15.463
7, 3, 2.318000, 14.464
7, 4, 2.429000, 14.235
7, 5, 2.886000, 12.803
7, 6, 2.730000, 11.697
7, 7, 2.590000, 10.750
7, 8, 2.684000, 10.716
7, 9, 2.372000, 9.139
8, 2, 1.887000, 12.722
8, 3, 2.349000, 14.768
8, 4, 2.703000, 17.377
8, 5, 2.971000, 13.105
8, 6, 2.833000, 11.947
8, 7, 2.658000, 10.958
8, 8, 2.372000, 10.078
8, 9, 2.590000, 7.948
9, 2, 1.887000, 12.628
9, 3, 2.349000, 14.564
9, 4, 2.778000, 12.818
9, 5, 2.971000, 13.002
9, 6, 2.806000, 11.844
9, 7, 2.429000, 9.831
9, 8, 2.550000, 7.925
9, 9, 2.429000, 7.318
10, 2, 1.887000, 12.431
10, 3, 2.372000, 14.442
10, 4, 2.778000, 12.724
10, 5, 2.886000, 12.486
10, 6, 2.806000, 11.679
10, 7, 2.730000, 8.677
10, 8, 2.488000, 7.641
10, 9, 2.658000, 7.973
11, 2, 1.887000, 12.425
11, 3, 2.372000, 11.066
11, 4, 2.778000, 12.606
11, 5, 2.488000, 10.601
11, 6, 2.806000, 9.118
11, 7, 2.730000, 8.614
11, 8, 2.658000, 8.124
11, 9, 2.658000, 7.055
12, 2, 1.887000, 12.512
12, 3, 2.429000, 11.253
12, 4, 2.857000, 12.932
12, 5, 3.061000, 13.027
12, 6, 2.886000, 9.272
12, 7, 2.806000, 8.575
12, 8, 2.488000, 7.261
12, 9, 2.886000, 7.602
13, 2, 1.887000, 12.194
13, 3, 2.349000, 10.968
13, 4, 2.550000, 11.227
13, 5, 2.615000, 8.577
13, 6, 2.886000, 9.233
13, 7, 2.886000, 8.938
13, 8, 2.971000, 7.970
13, 9, 2.971000, 7.745
14, 2, 1.887000, 12.208
14, 3, 2.429000, 11.131
14, 4, 2.857000, 12.742
14, 5, 2.615000, 8.531
14, 6, 2.886000, 9.175
14, 7, 2.806000, 7.669
14, 8, 2.488000, 6.581
14, 9, 2.971000, 7.688
15, 2, 1.887000, 12.276
15, 3, 2.429000, 11.108
15, 4, 2.615000, 11.374
15, 5, 3.061000, 10.002
15, 6, 2.886000, 9.106
15, 7, 2.886000, 7.844
15, 8, 3.091000, 8.096
15, 9, 2.971000, 6.132
16, 2, 1.887000, 13.261
16, 3, 2.429000, 11.067
16, 4, 2.857000, 13.568
16, 5, 3.156000, 10.246
16, 6, 3.061000, 9.271
16, 7, 2.971000, 8.020
16, 8, 2.429000, 6.524
16, 9, 2.886000, 5.923
17, 2, 1.887000, 9.267
17, 3, 2.429000, 10.981
17, 4, 2.857000, 9.706
17, 5, 3.156000, 10.180
17, 6, 3.061000, 8.438
17, 7, 2.971000, 7.965
17, 8, 2.806000, 5.870
17, 9, 2.886000, 5.879
18, 2, 1.887000, 9.232
18, 3, 2.488000, 11.194
18, 4, 2.857000, 9.689
18, 5, 2.778000, 9.021
18, 6, 3.061000, 8.399
18, 7, 3.061000, 8.152
18, 8, 2.429000, 4.868
18, 9, 2.886000, 5.631
19, 2, 1.887000, 9.239
19, 3, 2.429000, 10.819
19, 4, 2.615000, 8.594
19, 5, 3.156000, 10.057
19, 6, 3.156000, 8.617
19, 7, 2.971000, 6.296
19, 8, 2.886000, 5.987
19, 9, 3.061000, 5.942
20, 2, 1.887000, 9.247
20, 3, 2.590000, 11.686
20, 4, 2.857000, 9.618
20, 5, 3.156000, 8.884
20, 6, 3.156000, 8.598
20, 7, 3.156000, 6.662
20, 8, 2.488000, 5.364
20, 9, 3.061000, 5.916
21, 2, 1.923000, 9.339
21, 3, 2.590000, 11.611
21, 4, 2.941000, 9.809
21, 5, 3.156000, 8.840
21, 6, 3.156000, 8.550
21, 7, 3.258000, 6.840
21, 8, 2.886000, 5.699
21, 9, 2.971000, 5.710
22, 2, 1.923000, 9.316
22, 3, 2.488000, 8.511
22, 4, 2.684000, 8.798
22, 5, 3.156000, 8.817
22, 6, 3.258000, 6.995
22, 7, 3.258000, 6.809
22, 8, 2.429000, 4.736
22, 9, 3.091000, 5.107
23, 2, 1.923000, 9.292
23, 3, 2.488000, 8.485
23, 4, 2.941000, 9.742
23, 5, 3.156000, 8.779
23, 6, 3.156000, 6.749
23, 7, 3.258000, 6.519
23, 8, 2.971000, 5.809
23, 9, 2.971000, 4.932
24, 2, 1.887000, 9.128
24, 3, 2.488000, 8.503
24, 4, 2.941000, 9.398
24, 5, 3.156000, 8.768
24, 6, 3.258000, 6.964
24, 7, 3.258000, 6.506
24, 8, 2.488000, 4.952
24, 9, 2.971000, 4.920
25, 2, 1.923000, 9.230
25, 3, 2.488000, 8.429
25, 4, 2.941000, 8.519
25, 5, 3.156000, 8.675
25, 6, 3.258000, 6.906
25, 7, 3.258000, 6.456
25, 8, 2.971000, 5.008
25, 9, 2.488000, 3.789
26, 2, 1.923000, 9.208
26, 3, 2.488000, 8.401
26, 4, 2.941000, 8.505
26, 5, 3.156000, 6.873
26, 6, 3.367000, 7.103
26, 7, 3.258000, 6.431
26, 8, 2.488000, 4.144
26, 9, 3.061000, 4.674
27, 2, 1.923000, 9.161
27, 3, 2.590000, 8.787
27, 4, 2.941000, 8.466
27, 5, 3.258000, 7.070
27, 6, 3.258000, 6.584
27, 7, 3.258000, 6.406
27, 8, 3.156000, 5.269
27, 9, 3.156000, 4.799
28, 2, 1.923000, 9.171
28, 3, 2.488000, 8.346
28, 4, 2.941000, 8.464
28, 5, 3.258000, 7.026
28, 6, 3.258000, 6.483
28, 7, 3.258000, 5.492
28, 8, 3.258000, 5.447
28, 9, 3.156000, 4.732
29, 2, 1.923000, 9.019
29, 3, 2.615000, 8.668
29, 4, 2.941000, 8.344
29, 5, 3.156000, 6.757
29, 6, 3.367000, 6.688
29, 7, 2.684000, 4.399
29, 8, 3.156000, 4.756
29, 9, 3.156000, 4.250
30, 2, 1.961000, 9.204
30, 3, 2.550000, 8.416
30, 4, 2.941000, 8.330
30, 5, 3.258000, 6.956
30, 6, 3.483000, 6.883
30, 7, 2.684000, 4.452
30, 8, 3.258000, 4.849
30, 9, 3.156000, 4.134
31, 2, 1.887000, 8.811
31, 3, 2.550000, 8.383
31, 4, 2.941000, 8.285
31, 5, 3.258000, 6.795
31, 6, 3.483000, 6.489
31, 7, 2.684000, 4.161
31, 8, 3.156000, 4.518
31, 9, 3.156000, 4.060
32, 2, 1.961000, 9.838
32, 3, 2.684000, 8.495
32, 4, 2.941000, 8.205
32, 5, 3.258000, 6.813
32, 6, 3.483000, 6.594
32, 7, 3.367000, 5.287
32, 8, 3.258000, 5.115
32, 9, 3.156000, 4.047
33, 2, 1.961000, 6.721
33, 3, 2.615000, 7.127
33, 4, 2.941000, 6.142
33, 5, 3.367000, 6.298
33, 6, 3.483000, 5.411
33, 7, 3.367000, 4.913
33, 8, 3.258000, 4.291
33, 9, 3.156000, 4.054
34, 2, 1.961000, 6.963
34, 3, 2.615000, 7.458
34, 4, 2.941000, 6.406
34, 5, 3.367000, 6.712
34, 6, 3.483000, 5.826
34, 7, 3.367000, 4.920
34, 8, 3.367000, 4.453
34, 9, 2.684000, 3.426
35, 2, 1.961000, 6.954
35, 3, 2.615000, 7.435
35, 4, 2.941000, 6.424
35, 5, 3.367000, 6.700
35, 6, 3.483000, 5.778
35, 7, 2.684000, 3.893
35, 8, 3.258000, 4.261
35, 9, 3.258000, 4.146
36, 2, 1.961000, 6.952
36, 3, 2.590000, 7.426
36, 4, 2.941000, 6.421
36, 5, 3.367000, 6.682
36, 6, 3.483000, 5.735
36, 7, 3.483000, 5.118
36, 8, 3.367000, 4.421
36, 9, 3.258000, 3.631
37, 2, 1.942000, 6.774
37, 3, 2.615000, 7.404
37, 4, 2.941000, 6.386
37, 5, 3.367000, 6.663
37, 6, 3.483000, 5.779
37, 7, 3.483000, 4.572
37, 8, 3.367000, 4.206
37, 9, 3.258000, 3.476
38, 2, 1.961000, 6.771
38, 3, 2.615000, 7.197
38, 4, 2.941000, 6.192
38, 5, 3.367000, 6.260
38, 6, 3.483000, 4.959
38, 7, 2.684000, 3.371
38, 8, 3.367000, 4.193
38, 9, 3.258000, 3.449
39, 2, 1.961000, 6.728
39, 3, 2.615000, 7.103
39, 4, 2.941000, 6.046
39, 5, 3.367000, 5.279
39, 6, 3.483000, 4.999
39, 7, 3.483000, 4.460
39, 8, 3.367000, 4.213
39, 9, 3.258000, 3.417
40, 2, 1.961000, 6.582
40, 3, 2.615000, 7.045
40, 4, 2.941000, 6.265
40, 5, 3.367000, 5.289
40, 6, 3.607000, 5.150
40, 7, 3.483000, 4.411
40, 8, 3.367000, 4.171
40, 9, 3.258000, 3.400
41, 2, 1.961000, 6.642
41, 3, 2.615000, 7.064
41, 4, 2.941000, 5.709
41, 5, 3.367000, 5.269
41, 6, 3.607000, 5.061
41, 7, 3.483000, 4.363
41, 8, 3.367000, 3.608
41, 9, 3.258000, 3.421
42, 2, 1.961000, 6.653
42, 3, 2.684000, 7.222
42, 4, 2.941000, 5.637
42, 5, 3.367000, 5.240
42, 6, 3.483000, 4.916
42, 7, 3.483000, 4.386
42, 8, 3.367000, 3.603
42, 9, 3.258000, 3.362
43, 2, 1.961000, 6.535
43, 3, 2.684000, 5.727
43, 4, 3.030000, 5.805
43, 5, 3.367000, 5.268
43, 6, 3.483000, 4.533
43, 7, 3.483000, 4.356
43, 8, 3.367000, 3.567
43, 9, 3.258000, 3.012
44, 2, 1.961000, 6.637
44, 3, 2.684000, 5.673
44, 4, 3.030000, 5.805
44, 5, 3.367000, 5.382
44, 6, 3.607000, 4.859
44, 7, 3.483000, 4.556
44, 8, 3.483000, 3.849
44, 9, 3.258000, 3.128
45, 2, 1.942000, 6.643
45, 3, 2.684000, 5.843
45, 4, 3.125000, 6.341
45, 5, 3.367000, 5.259
45, 6, 3.607000, 4.888
45, 7, 2.757000, 3.604
45, 8, 3.367000, 3.747
45, 9, 3.367000, 3.251
46, 2, 1.961000, 6.695
46, 3, 2.684000, 5.826
46, 4, 3.030000, 6.145
46, 5, 3.367000, 5.256
46, 6, 3.607000, 4.901
46, 7, 3.607000, 4.151
46, 8, 3.483000, 3.915
46, 9, 3.367000, 3.289
47, 2, 1.961000, 6.735
47, 3, 2.757000, 5.997
47, 4, 3.125000, 6.334
47, 5, 3.367000, 5.242
47, 6, 3.607000, 4.881
47, 7, 3.607000, 4.137
47, 8, 3.367000, 3.768
47, 9, 3.483000, 3.384
